DepartureCode,ArrivalCode,LowestPriceUSD,AveragePriceUSD,CheapestMonth
CMB,AAN,784.37,1235,May,
PER,AAN,2222.71,2223,October,
DFW,ABE,222.05,290,November,
DAL,ABE,389.65,426,October,
LAS,ABE,342.65,393,October,
CLE,ABE,247,247,April,
CLT,ABE,362.65,363,December,
MCO,ABE,163.666,233,November,
SJU,ABE,620.828,621,July,
DTW,ABE,485.782,486,April,
PIT,ABE,292.02,292,April,
GSP,ABE,335.486,335,December,
RDU,ABE,409.936,410,December,
OKC,ABE,382.995,392,April,
PSP,ABE,332.659,371,October,
MLB,ABE,388.1,399,November,
GEG,ABQ,332.65,333,October,
YYZ,ABQ,228.618,382,November,
SFO,ABQ,141.523,233,November,
PHX,ABQ,102.268,154,October,
TPA,ABQ,352.2,352,November,
LGA,ABQ,104.39,369,November,
DEN,ABQ,114.655,155,November,
JFK,ABQ,104.39,392,November,
BLI,ABQ,218.05,358,October,
BUF,ABQ,194.95,305,November,
OMA,ABQ,155.55,285,October,
EWR,ABQ,193.482,432,November,
OAK,ABQ,150.654,266,November,
SMF,ABQ,181.6,370,October,
SLC,ABQ,155.05,212,October,
BWI,ABQ,141.05,287,November,
TUS,ABQ,126.818,212,November,
ROC,ABQ,158.412,300,November,
DFW,ABQ,106.335,199,October,
ORD,ABQ,157.214,338,October,
DCA,ABQ,179.55,324,November,
MSP,ABQ,187.6,293,November,
YKF,ABQ,207.7,426,October,
YVR,ABQ,240.469,368,October,
YXX,ABQ,367.3,638,October,
FLL,ABQ,214.655,340,December,
LAX,ABQ,110.32,180,November,
YYJ,ABQ,297.591,476,October,
IAD,ABQ,179.55,324,November,
OGG,ABQ,825.324,825,December,
OKC,ABQ,158.139,252,October,
LAS,ABQ,114.314,168,November,
ATL,ABQ,211.05,299,October,
DAL,ABQ,123.603,190,October,
PVD,ABQ,459.998,460,October,
IND,ABQ,362.65,401,November,
PDX,ABQ,144.6,244,December,
YHM,ABQ,555.689,1025,October,
ALB,ABQ,439.4,439,May,
MIA,ABQ,535.66,699,November,
COS,ABQ,310.516,374,May,
SAT,ABQ,435.2,435,October,
PHL,ABQ,181.665,607,November,
